test_patient,model,accuracy,sensitivity,specificity,auc,mcc,f1,tp,tn,fp,fn,threshold,n_test,n_pos_test,n_neg_test,fit_time_sec,fold_total_sec,n_params
chb01,eegnet,0.9192546583850931,0.8608695652173913,0.9221739130434783,0.9530283553875237,0.5224852756544316,0.5038167938931297,198,4242,358,32,0.45,4830,230,4600,167.94095540046692,198.03440475463867,1905
chb02,eegnet,0.9052631578947369,0.8888888888888888,0.906,0.968288888888889,0.4826153107580797,0.44692737430167595,80,1812,188,10,0.4,2090,90,2000,165.63813877105713,193.64630484580994,1905
chb03,eegnet,0.962358276643991,0.7714285714285715,0.9719047619047619,0.9761541950113379,0.6491780983596339,0.6612244897959184,162,4082,118,48,0.5,4410,210,4200,53.74868035316467,81.57349467277527,1905
chb04,eegnet,0.8459096459096459,0.8256410256410256,0.8469230769230769,0.9027284681130835,0.36878273989737426,0.3378803777544596,161,3303,597,34,0.6,4095,195,3900,99.31918478012085,127.47636723518372,1905
chb05,eegnet,0.29948564791770366,0.9163763066202091,0.2686411149825784,0.7995808495914726,0.08984574794379012,0.11078348778433024,263,1542,4198,24,0.6,6027,287,5740,159.61201238632202,187.6726839542389,1905
chb06,eegnet,0.9431438127090301,0.3978494623655914,0.9685,0.8272634408602151,0.35391452044597943,0.38341968911917096,37,1937,63,56,0.6,2093,93,2000,133.31068563461304,161.09880423545837,1905
chb07,eegnet,0.93071000855432,0.8562874251497006,0.9344311377245509,0.9716393560185018,0.5534632553916577,0.5406427221172023,143,3121,219,24,0.5,3507,167,3340,132.70230770111084,165.48368000984192,1905
chb08,eegnet,0.7563984908738656,0.5053533190578159,0.7689507494646681,0.6891546570436841,0.13598939901441573,0.16497728067109402,236,7182,2158,231,0.4,9807,467,9340,88.3453996181488,116.79637718200684,1905
chb09,eegnet,0.6147783251231527,0.9448275862068966,0.5982758620689655,0.920794292508918,0.2337821641444359,0.18935729094678647,137,1735,1165,8,0.35,3045,145,2900,96.93100666999817,124.55671453475952,1905
chb10,eegnet,0.7329280648429585,0.5829787234042553,0.7404255319148936,0.7053562698053417,0.15424762939750636,0.1721105527638191,137,3480,1220,98,0.5,4935,235,4700,78.53143954277039,105.90330934524536,1905
chb11,eegnet,0.7634257634257634,0.9656019656019657,0.7533169533169534,0.9592445472052352,0.3406410334161733,0.2799145299145299,393,6132,2008,14,0.5,8547,407,8140,78.85219860076904,106.68805074691772,1905
chb12,eegnet,0.9084044065387349,0.18470149253731344,0.9445895522388059,0.6663935453330363,0.11454812248921922,0.161106590724166,99,10126,594,437,0.5,11256,536,10720,94.61997747421265,122.94708776473999,1905
chb13,eegnet,0.8848088531187123,0.18309859154929578,0.9198943661971831,0.6109167327911129,0.07864297093450354,0.13147914032869784,52,5225,455,232,0.45,5964,284,5680,131.43594598770142,159.5073664188385,1905
chb14,eegnet,0.7726406101048617,0.25510204081632654,0.798,0.534204081632653,0.027783210760330957,0.09487666034155598,25,1596,404,73,0.45,2098,98,2000,108.42684555053711,146.08586049079895,1905
chb15,eegnet,0.906945412311266,0.5990243902439024,0.9223414634146342,0.8554430220107078,0.3660887406403789,0.38006809037449707,614,18908,1592,411,0.45,21525,1025,20500,94.11000156402588,138.66918325424194,1905
chb16,eegnet,0.8725060827250608,0.6181818181818182,0.8795,0.8108090909090909,0.23592380799634594,0.20606060606060606,34,1759,241,21,0.35,2055,55,2000,70.64776706695557,114.56912016868591,1905
chb17,eegnet,0.7361904761904762,0.84,0.731,0.8481466666666666,0.2663291461266539,0.23268698060941828,126,2193,807,24,0.4,3150,150,3000,114.98475098609924,159.4363067150116,1905
chb18,eegnet,0.9577345731191885,0.757396449704142,0.9677514792899409,0.9479289940828401,0.6185986620699493,0.6305418719211823,128,3271,109,41,0.4,3549,169,3380,156.95835995674133,199.9904727935791,1905
chb19,eegnet,0.9721254355400697,0.4715447154471545,0.9971544715447155,0.9516227113490647,0.637279235768484,0.6170212765957447,58,2453,7,65,0.5,2583,123,2460,70.04749703407288,113.33791542053223,1905
chb20,eegnet,0.822701407607068,0.559748427672956,0.8358490566037736,0.7330999564890629,0.217882753559256,0.23116883116883116,89,2658,522,70,0.5,3339,159,3180,170.15931177139282,212.7124891281128,1905
chb22,eegnet,0.9700176366843033,0.49074074074074076,0.9939814814814815,0.9619813100137173,0.6141169138278094,0.6091954022988506,53,2147,13,55,0.5,2268,108,2160,180.5010702610016,223.12974858283997,1905
