test_patient,model,accuracy,sensitivity,specificity,auc,mcc,f1,tp,tn,fp,fn,threshold,n_test,n_pos_test,n_neg_test,fit_time_sec,fold_total_sec,n_params
chb01,eegnet_25hz,0.9354037267080745,0.7391304347826086,0.9452173913043478,0.9430283553875237,0.5161105152076746,0.5214723926380368,170,4348,252,60,0.55,4830,230,4600,169.72133803367615,208.25053238868713,1905
chb02,eegnet_25hz,0.884688995215311,0.8333333333333334,0.887,0.9345333333333333,0.41646772126771464,0.3836317135549872,75,1774,226,15,0.5,2090,90,2000,105.3718638420105,133.3075394630432,1905
chb03,eegnet_25hz,0.919047619047619,0.9857142857142858,0.9157142857142857,0.9909773242630384,0.5761163832684567,0.5369649805447471,207,3846,354,3,0.3,4410,210,4200,66.87710285186768,94.75017595291138,1905
chb04,eegnet_25hz,0.8803418803418803,0.7897435897435897,0.8848717948717949,0.9052294543063772,0.40542458111375107,0.38596491228070173,154,3451,449,41,0.4,4095,195,3900,50.595815896987915,78.29343366622925,1905
chb05,eegnet_25hz,0.2697859631657541,0.9372822299651568,0.23641114982578398,0.8363203996649224,0.0881472886758233,0.1089289329823851,269,1357,4383,18,0.5,6027,287,5740,141.6770715713501,169.0925624370575,1905
chb06,eegnet_25hz,0.9364548494983278,0.22580645161290322,0.9695,0.7473172043010752,0.2074245231280136,0.24,21,1939,61,72,0.6,2093,93,2000,120.24248766899109,147.81937217712402,1905
chb07,eegnet_25hz,0.906187624750499,0.8982035928143712,0.9065868263473054,0.9518842554412135,0.5067568527775334,0.4769475357710652,150,3028,312,17,0.55,3507,167,3340,96.71094036102295,124.59841513633728,1905
chb08,eegnet_25hz,0.738961965942694,0.3426124197002141,0.7587794432548179,0.5939357326596023,0.05013218078038564,0.1111111111111111,160,7087,2253,307,0.55,9807,467,9340,72.99228405952454,101.03572654724121,1905
chb09,eegnet_25hz,0.5688013136288999,0.9448275862068966,0.55,0.9305588585017835,0.2110510474317471,0.17265280403276623,137,1595,1305,8,0.55,3045,145,2900,144.9094603061676,172.6954791545868,1905
chb10,eegnet_25hz,0.6960486322188449,0.7148936170212766,0.6951063829787234,0.7945803531009505,0.18650404399456993,0.1830065359477124,168,3267,1433,67,0.6,4935,235,4700,163.63920831680298,192.75027012825012,1905
chb11,eegnet_25hz,0.8662688662688662,0.9385749385749386,0.8626535626535626,0.9591488629572167,0.4485574057743453,0.40062926061877296,382,7022,1118,25,0.4,8547,407,8140,159.45353722572327,201.37453842163086,1905
chb12,eegnet_25hz,0.9303482587064676,0.17164179104477612,0.9682835820895522,0.7150313613833817,0.15511024935680723,0.19008264462809918,92,10380,340,444,0.45,11256,536,10720,152.43196320533752,180.9161114692688,1905
chb13,eegnet_25hz,0.9106304493628438,0.24647887323943662,0.9438380281690141,0.6943686768498314,0.16413963358566452,0.20802377414561665,70,5361,319,214,0.45,5964,284,5680,53.021366596221924,81.34305834770203,1905
chb14,eegnet_25hz,0.7087702573879886,0.40816326530612246,0.7235,0.5458061224489795,0.06170169016420968,0.11577424023154848,40,1447,553,58,0.35,2098,98,2000,71.13473677635193,98.94281649589539,1905
chb15,eegnet_25hz,0.8485946573751452,0.806829268292683,0.8506829268292683,0.906103224271267,0.36397134194539843,0.3366578465296153,827,17439,3061,198,0.55,21525,1025,20500,87.83381915092468,116.96483659744263,1905
chb16,eegnet_25hz,0.824330900243309,0.4,0.836,0.7580545454545454,0.10132395461489767,0.10864197530864197,22,1672,328,33,0.4,2055,55,2000,167.5773572921753,194.8195197582245,1905
chb17,eegnet_25hz,0.6961904761904761,0.8933333333333333,0.6863333333333334,0.8860244444444446,0.2603582246742087,0.21877551020408162,134,2059,941,16,0.55,3150,150,3000,106.41710805892944,134.5127067565918,1905
chb18,eegnet_25hz,0.9706959706959707,0.7692307692307693,0.9807692307692307,0.9475263471166976,0.7009130258223496,0.7142857142857143,130,3315,65,39,0.45,3549,169,3380,163.18148279190063,191.29637718200684,1905
chb19,eegnet_25hz,0.9728997289972899,0.6178861788617886,0.990650406504065,0.9538469165179456,0.675014977847998,0.6846846846846847,76,2437,23,47,0.45,2583,123,2460,165.39630603790283,193.17350268363953,1905
chb20,eegnet_25hz,0.8514525306978137,0.5094339622641509,0.8685534591194969,0.6869704521181916,0.22577717099737363,0.24620060790273557,81,2762,418,78,0.35,3339,159,3180,47.6480233669281,75.71107077598572,1905
chb22,eegnet_25hz,0.9682539682539683,0.4537037037037037,0.9939814814814815,0.9584919410150893,0.5846727828762803,0.5764705882352941,49,2147,13,59,0.5,2268,108,2160,106.96898078918457,134.5452401638031,1905
