test_patient,model,accuracy,sensitivity,specificity,auc,mcc,f1,tp,tn,fp,fn,threshold,n_test,n_pos_test,n_neg_test,fit_time_sec,fold_total_sec,n_params
chb01,eegnet_perrec,0.9612836438923396,0.9695652173913043,0.9608695652173913,0.9898846880907373,0.7165087314464035,0.7045813586097947,223,4420,180,7,0.5,4830,230,4600,168.54983019828796,210.8248918056488,1905
chb02,eegnet_perrec,0.9363636363636364,1.0,0.9335,0.9976277777777778,0.6137987283497472,0.5750798722044729,90,1867,133,0,0.4,2090,90,2000,168.84442567825317,196.57184100151062,1905
chb03,eegnet_perrec,0.9612244897959183,0.9476190476190476,0.9619047619047619,0.9839535147392291,0.7083045297351407,0.6994727592267135,199,4040,160,11,0.55,4410,210,4200,163.15392994880676,190.8406524658203,1905
chb04,eegnet_perrec,0.9042735042735043,0.841025641025641,0.9074358974358975,0.9287284681130835,0.47676606669617455,0.45555555555555555,164,3539,361,31,0.5,4095,195,3900,111.47502398490906,139.2203004360199,1905
chb05,eegnet_perrec,0.3159117305458769,0.9721254355400697,0.28310104529616725,0.9445043038036154,0.12229241127654386,0.11920529801324503,279,1625,4115,8,0.45,6027,287,5740,140.4135925769806,167.94930219650269,1905
chb06,eegnet_perrec,0.9173435260391782,0.4946236559139785,0.937,0.7928817204301074,0.3238424714233918,0.3471698113207547,46,1874,126,47,0.55,2093,93,2000,137.25794458389282,165.77756333351135,1905
chb07,eegnet_perrec,0.8828058169375534,0.9281437125748503,0.8805389221556886,0.9802843414966474,0.47219673574025284,0.42995839112343964,155,2941,399,12,0.5,3507,167,3340,121.13617181777954,151.32683277130127,1905
chb08,eegnet_perrec,0.7981033955338024,0.5995717344753747,0.8080299785867238,0.7767109987207057,0.21260141174910968,0.2204724409448819,280,7547,1793,187,0.5,9807,467,9340,83.73996233940125,111.68668055534363,1905
chb09,eegnet_perrec,0.4124794745484401,0.9862068965517241,0.3837931034482759,0.9727241379310345,0.16355681166486427,0.13783132530120482,143,1113,1787,2,0.45,3045,145,2900,165.72971773147583,193.99490332603455,1905
chb10,eegnet_perrec,0.7839918946301925,0.8765957446808511,0.7793617021276595,0.9305513807152557,0.32180450264625,0.2787550744248985,206,3663,1037,29,0.45,4935,235,4700,148.05498719215393,175.6172332763672,1905
chb11,eegnet_perrec,0.93003393003393,0.9606879606879607,0.9285012285012285,0.9874415179083484,0.5961897572294865,0.5666666666666667,391,7558,582,16,0.45,8547,407,8140,155.4361834526062,183.11897253990173,1905
chb12,eegnet_perrec,0.7354299928926794,0.46455223880597013,0.748973880597015,0.6743847808531966,0.10351419028417112,0.1432681242807825,249,8029,2691,287,0.5,11256,536,10720,112.48935532569885,140.4217710494995,1905
chb13,eegnet_perrec,0.8874916163648559,0.2605633802816901,0.918838028169014,0.7404253868280103,0.13369721919182162,0.1807081807081807,74,5219,461,210,0.5,5964,284,5680,115.38122057914734,143.12832713127136,1905
chb14,eegnet_perrec,0.6048617731172545,0.10204081632653061,0.6295,0.1700204081632653,-0.11816872089321671,0.023557126030624265,10,1259,741,88,0.35,2098,98,2000,77.45838332176208,105.29136490821838,1905
chb15,eegnet_perrec,0.9471777003484321,0.1326829268292683,0.9879024390243902,0.7595649018441405,0.19400150242484296,0.1930447125621008,136,20252,248,889,0.45,21525,1025,20500,116.99512767791748,145.02594661712646,1905
chb16,eegnet_perrec,0.8686131386861314,0.5818181818181818,0.8765,0.8758454545454545,0.21594335603954506,0.19161676646706588,32,1753,247,23,0.45,2055,55,2000,137.31914448738098,164.21028399467468,1905
chb17,eegnet_perrec,0.920952380952381,0.9133333333333333,0.9213333333333333,0.9740666666666665,0.5501447475416145,0.5239005736137667,137,2764,236,13,0.45,3150,150,3000,141.13183760643005,168.8979127407074,1905
chb18,eegnet_perrec,0.9712595097210481,0.7869822485207101,0.9804733727810651,0.9620706557893631,0.7104050372026666,0.7228260869565217,133,3314,66,36,0.6,3549,169,3380,163.0103178024292,190.62257313728333,1905
chb19,eegnet_perrec,0.9872241579558653,0.7967479674796748,0.9967479674796748,0.9636063189900191,0.8518220532923764,0.8558951965065502,98,2452,8,25,0.55,2583,123,2460,161.18659472465515,188.58101749420166,1905
chb20,eegnet_perrec,0.960167714884696,0.5849056603773585,0.9789308176100628,0.8556603773584905,0.5621601241553081,0.5830721003134797,93,3113,67,66,0.45,3339,159,3180,127.81879425048828,155.24345445632935,1905
chb22,eegnet_perrec,0.9766313932980599,0.6944444444444444,0.9907407407407407,0.977619170096022,0.7283750346499495,0.7389162561576355,75,2140,20,33,0.55,2268,108,2160,123.66433000564575,151.4716727733612,1905
