fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,fit_time_sec,threshold,n_features_kept
0,chb01,RF,0.5578002244668911,0.1638608305274972,0.9517396184062851,0.7210079344385367,146,848,43,745,1782,0.5346408181888428,0.580710957690944,24.55386757850647,0.2,92
0,chb01,SVM,0.46408529741863075,0.17059483726150393,0.7575757575757576,0.41083865214056003,152,675,216,739,1782,0.4410321218380744,0.48729298829487344,573.3230624198914,0.2,92
0,chb01,XGB,0.5521885521885522,0.16722783389450055,0.9371492704826038,0.633116298286519,149,835,56,742,1782,0.5290124775826228,0.5751400967554372,4.872697353363037,0.15,92
1,chb02,RF,0.670028818443804,0.4207492795389049,0.9193083573487032,0.7201787241817472,146,319,28,201,694,0.6341933592528854,0.7039922691189398,16.05916953086853,0.15,92
1,chb02,SVM,0.6296829971181557,0.48703170028818443,0.7723342939481268,0.5293499655341378,169,268,79,178,694,0.5931337455447183,0.6648044455863351,537.868271112442,0.25,92
1,chb02,XGB,0.6829971181556196,0.38328530259365995,0.9827089337175793,0.5078440980325392,133,341,6,214,694,0.6474512217811816,0.7165282257037491,3.0087532997131348,0.15,92
2,chb03,RF,0.49013563501849566,0.0036991368680641184,0.9765721331689272,0.5683382467642055,3,792,19,808,1622,0.46585914708411774,0.5144587387419063,16.79350781440735,0.2,92
2,chb03,SVM,0.41800246609124536,0.1319358816276202,0.7040690505548706,0.2563320921789026,107,571,240,704,1622,0.3942199700624236,0.4421724558664001,560.3409354686737,0.15,92
2,chb03,XGB,0.5086313193588162,0.04315659679408138,0.9741060419235512,0.5480355652320665,35,790,21,776,1622,0.4843100229733624,0.5329118269288666,4.689443588256836,0.15,92
3,chb04,RF,0.4980263157894737,0.02631578947368421,0.9697368421052631,0.6089941135734073,20,737,23,740,1520,0.4729267213863376,0.5231358614962927,25.513614892959595,0.2,92
3,chb04,SVM,0.47828947368421054,0.8736842105263158,0.08289473684210526,0.39503981994459836,664,63,697,96,1520,0.45326305826027896,0.5034253534486546,595.4242782592773,0.15,92
3,chb04,XGB,0.5269736842105263,0.15263157894736842,0.9013157894736842,0.5736218836565097,116,685,75,644,1520,0.501837384305505,0.5519739829652138,4.375413417816162,0.15,92
4,chb05,RF,0.5526315789473685,0.4281891168599465,0.6770740410347904,0.6733442566333582,480,759,362,641,2242,0.5319769071492091,0.5731061939920292,16.096113443374634,0.15,92
4,chb05,SVM,0.491971454058876,0.05976806422836753,0.9241748438893844,0.6924841701010869,67,1036,85,1054,2242,0.4713085162650949,0.5126618581370893,549.2456715106964,0.25,92
4,chb05,XGB,0.5347903657448706,0.21320249776984834,0.856378233719893,0.4518060448449478,239,960,161,882,2242,0.5141015572061924,0.5553601537176767,3.0256221294403076,0.15,92
5,chb06,RF,0.4129746835443038,0.28164556962025317,0.5443037974683544,0.4017184746034289,89,172,144,227,632,0.37522568834817005,0.4517752502503739,17.38656997680664,0.2,92
5,chb06,SVM,0.47943037974683544,0.2974683544303797,0.6613924050632911,0.46594095497516425,94,209,107,222,632,0.4407229914729092,0.5183863212867467,717.8141601085663,0.25,92
5,chb06,XGB,0.41139240506329117,0.2911392405063291,0.5316455696202531,0.40743670886075956,92,168,148,224,632,0.37367477687287887,0.4501807242456387,4.4209911823272705,0.15,92
6,chb07,RF,0.5,0.0,1.0,0.547154258001121,0,653,0,653,1306,0.4729219936322059,0.5270780063677941,16.395687341690063,0.2,92
6,chb07,SVM,0.48392036753445633,0.0,0.9678407350689127,0.5437127265137461,0,632,21,653,1306,0.4569034855172865,0.5110315686144498,546.0181088447571,0.2,92
6,chb07,XGB,0.4877488514548239,0.0,0.9754977029096478,0.2954229390092611,0,637,16,653,1306,0.46071488184312176,0.5148546832096297,3.0903429985046387,0.15,92
7,chb08,RF,0.571351058057515,0.20184481823114486,0.940857297883885,0.62980896760307,372,1734,109,1471,3686,0.5553084495451374,0.5872450953007987,16.040574073791504,0.2,92
7,chb08,SVM,0.5119370591427022,0.29896907216494845,0.7249050461204558,0.60007745869532,551,1336,507,1292,3686,0.49579596173738677,0.5280533005182071,562.841142654419,0.15,92
7,chb08,XGB,0.5586001085187194,0.23765599565925122,0.8795442213781878,0.5844916563354059,438,1621,222,1405,3686,0.5425169045785121,0.5745612919489484,3.1019346714019775,0.15,92
8,chb09,RF,0.512589928057554,0.28597122302158273,0.7392086330935251,0.5872916774494075,159,411,145,397,1112,0.48321823874840647,0.5418749285972095,16.09830665588379,0.2,92
8,chb09,SVM,0.7005395683453237,0.658273381294964,0.7428057553956835,0.7848293307799803,366,413,143,190,1112,0.6729657585919883,0.7267325498417535,569.5825705528259,0.2,92
8,chb09,XGB,0.5746402877697842,0.4748201438848921,0.6744604316546763,0.5437687619688422,264,375,181,292,1112,0.5453732961520472,0.6033933388255337,3.164496898651123,0.15,92
9,chb10,RF,0.623196448390677,0.32963374028856823,0.9167591564927858,0.7622742519410545,297,826,75,604,1802,0.6005823863155382,0.645286354331482,16.128053903579712,0.2,92
