fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,mcc,fit_time_sec,threshold,n_features_kept
0,chb01,RF,0.5730088495575221,0.1902654867256637,0.9557522123893806,0.758115357506461,43,216,10,183,452,0.5269806867997002,0.6178064497845868,0.22692876898662795,16.89471411705017,0.1,92
0,chb01,SVM,0.40707964601769914,0.16371681415929204,0.6504424778761062,0.4032618059362518,37,147,79,189,452,0.36275485084527215,0.452970611683817,-0.21274073584919082,494.2185871601105,0.05,92
0,chb01,XGB,0.5110619469026548,0.11946902654867257,0.9026548672566371,0.5893766152400344,27,204,22,199,452,0.46507918489396466,0.5568582600430485,0.035581105813337,4.459598541259766,0.05,92
1,chb02,RF,0.5454545454545454,0.09090909090909091,1.0,0.7530346074380165,8,88,0,80,176,0.4717026625861686,0.6172645174211266,0.2182178902359924,11.834358215332031,0.1,92
1,chb02,SVM,0.5397727272727273,0.4318181818181818,0.6477272727272727,0.4576446280991735,38,57,31,50,176,0.4660727025222357,0.6117735799841477,0.08146697786003251,478.17408537864685,0.05,92
1,chb02,XGB,0.6306818181818182,0.2727272727272727,0.9886363636363636,0.5290547520661157,24,87,1,64,176,0.5572981861329023,0.6984824563880718,0.37434269103473333,2.5736427307128906,0.05,92
2,chb03,RF,0.48058252427184467,0.0,0.9611650485436893,0.5855052314072957,0,198,8,206,412,0.4327402198472384,0.5287835911423306,-0.14071950894605836,12.30969762802124,0.1,92
2,chb03,SVM,0.4077669902912621,0.13592233009708737,0.6796116504854369,0.26157036478461687,28,140,66,178,412,0.36137848463338973,0.4558596175670635,-0.21978907933552091,493.4028515815735,0.05,92
2,chb03,XGB,0.5,0.05825242718446602,0.941747572815534,0.5441606183429164,12,194,12,194,412,0.45194239659168267,0.5480576034083173,0.0,3.8789162635803223,0.05,92
3,chb04,RF,0.4293193717277487,0.20418848167539266,0.6544502617801047,0.44948055151996935,39,125,66,152,382,0.38062816074463746,0.47941803437792074,-0.15831761184309495,18.809937000274658,0.05,92
3,chb04,SVM,0.4869109947643979,0.8691099476439791,0.10471204188481675,0.4085140209972314,166,20,171,25,382,0.4371673174669876,0.5369153112594122,-0.040602128094508,567.3879232406616,0.05,92
3,chb04,XGB,0.4581151832460733,0.0,0.9162303664921466,0.4873358734683808,0,175,16,191,382,0.4088148918250746,0.5082495200994044,-0.20908334939572668,3.9380557537078857,0.05,92
4,chb05,RF,0.5604982206405694,0.20284697508896798,0.9181494661921709,0.7926318055749041,57,258,23,224,562,0.519189873012168,0.6009851017510874,0.17314517929192597,17.37178134918213,0.1,92
4,chb05,SVM,0.4875444839857651,0.0711743772241993,0.9039145907473309,0.7232304555413431,20,254,27,261,562,0.44644350715313313,0.5288145862779613,-0.044993056454363675,554.1940443515778,0.05,92
4,chb05,XGB,0.6120996441281139,0.2704626334519573,0.9537366548042705,0.5127341345727637,76,268,13,205,562,0.5711818996342151,0.6514952594859345,0.3070541530286312,2.5353121757507324,0.05,92
5,chb06,RF,0.41875,0.2125,0.625,0.423671875,17,50,30,63,160,0.3450865506167644,0.49622359283886586,-0.17838371390926502,12.490353107452393,0.1,92
5,chb06,SVM,0.51875,0.15,0.8875,0.48718750000000005,12,71,9,68,160,0.44180083048790497,0.5948199056377189,0.05552699962688633,474.97306966781616,0.1,92
5,chb06,XGB,0.45,0.3375,0.5625,0.46875,27,45,35,53,160,0.3749849776836161,0.5273597259813871,-0.10263160115815709,2.5920870304107666,0.05,92
6,chb07,RF,0.5,0.0,1.0,0.44779892920880426,0,164,0,164,328,0.4462026774957948,0.5537973225042052,0.0,12.025529384613037,0.1,92
6,chb07,SVM,0.5,0.0,1.0,0.4442296252230815,0,164,0,164,328,0.4462026774957948,0.5537973225042052,0.0,488.44650888442993,0.1,92
6,chb07,XGB,0.4878048780487805,0.0,0.975609756097561,0.3595701963117192,0,160,4,164,328,0.43416455235122087,0.541727560030108,-0.1111111111111111,2.5801563262939453,0.05,92
7,chb08,RF,0.6006493506493507,0.2987012987012987,0.9025974025974026,0.6257636663480819,138,417,45,324,924,0.568715629581514,0.631749622245953,0.2525505389808086,11.718049049377441,0.1,92
7,chb08,SVM,0.5292207792207793,0.4090909090909091,0.6493506493506493,0.6065408256966698,189,300,162,273,924,0.49698173357484526,0.5612178556653872,0.060205046330894844,501.00608706474304,0.05,92
7,chb08,XGB,0.5714285714285714,0.2727272727272727,0.8701298701298701,0.616189726579337,126,402,60,336,924,0.5392886224133076,0.6029770401739272,0.17813911176909758,2.5821378231048584,0.05,92
8,chb09,RF,0.5107913669064749,0.5539568345323741,0.4676258992805755,0.5445111536669944,77,65,74,62,278,0.45228314125634056,0.5690054123141757,0.021663614585348854,11.871193647384644,0.05,92
8,chb09,SVM,0.6690647482014388,0.5323741007194245,0.8057553956834532,0.8633093525179856,74,112,27,65,278,0.6117757629665718,0.7217449096381819,0.3515204033161238,556.4227960109711,0.05,92
8,chb09,XGB,0.6798561151079137,0.5755395683453237,0.7841726618705036,0.6441695564411779,80,109,30,59,278,0.6228823236933312,0.7319269024819388,0.3678061789603123,4.0403969287872314,0.05,92
9,chb10,RF,0.6792035398230089,0.42035398230088494,0.9380530973451328,0.8166164147544834,95,212,14,131,452,0.634815414387527,0.720571193592087,0.4189138411052551,17.243601083755493,0.1,92
9,chb10,SVM,0.4823008849557522,0.008849557522123894,0.9557522123893806,0.7671509123658861,2,216,10,224,452,0.43657789044702805,0.5283221976537509,-0.11009637651263607,564.496940612793,0.05,92
9,chb10,XGB,0.7323008849557522,0.5619469026548672,0.9026548672566371,0.8509476074868823,127,204,22,99,452,0.689650096717622,0.7710362469596554,0.494168263424768,3.572232723236084,0.05,92
10,chb11,RF,0.4925925925925926,0.014814814814814815,0.9703703703703703,0.27708885840573083,6,393,12,399,810,0.45827898542890677,0.5269761305543509,-0.0502518907629606,11.530943632125854,0.1,92
10,chb11,SVM,0.4604938271604938,0.0024691358024691358,0.9185185185185185,0.43564090839811004,1,372,33,404,810,0.42643487458755464,0.49492574398981964,-0.19700609343114084,505.03049635887146,0.05,92
10,chb11,XGB,0.4777777777777778,0.0,0.9555555555555556,0.08144490169181529,0,387,18,405,810,0.44356413388235016,0.5122012140674229,-0.15075567228888181,2.6077213287353516,0.05,92
11,chb12,RF,0.490138067061144,0.35700197238658776,0.6232741617357002,0.5104026858692312,181,316,191,326,1014,0.4594637338240168,0.5208868433188313,-0.020462609480752923,12.1189124584198,0.05,92
11,chb12,SVM,0.5315581854043393,0.2781065088757396,0.7850098619329389,0.5548319581091543,141,398,109,366,1014,0.500782582742522,0.562095570400364,0.07322060191300409,498.25011348724365,0.05,92
11,chb12,XGB,0.5187376725838264,0.16568047337278108,0.8717948717948718,0.5127076938638158,84,442,65,423,1014,0.48797093987979556,0.5493629635487929,0.05292396980844077,2.576659679412842,0.05,92
12,chb13,RF,0.497787610619469,0.008849557522123894,0.9867256637168141,0.5213799044561046,2,223,3,224,452,0.45190602337580804,0.5437064876367894,-0.02115247723234508,12.270922422409058,0.15,92
12,chb13,SVM,0.5353982300884956,0.28761061946902655,0.7831858407079646,0.557326337222962,65,177,49,161,452,0.48931343715406006,0.5808863866443824,0.081509683511695,518.8842713832855,0.05,92
12,chb13,XGB,0.5176991150442478,0.15486725663716813,0.8805309734513275,0.5457945023102828,35,199,27,191,452,0.47167780234624923,0.563422109552972,0.05144721129508728,2.6550886631011963,0.05,92
13,chb14,RF,0.4942528735632184,0.0,0.9885057471264368,0.6471132249966971,0,86,1,87,174,0.420894958099867,0.5678590792007422,-0.07602859212697055,12.280598640441895,0.1,92
