fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,fit_time_sec,threshold,n_features_kept
0,chb01,RF,0.5830527497194163,0.2783389450056117,0.8877665544332211,0.671289525760158,248,791,100,643,1782,0.5600053460809954,0.6057428367365624,21.984052658081055,0.2,184
1,chb02,RF,0.7046109510086456,0.4322766570605187,0.9769452449567724,0.5695047712380302,150,339,8,197,694,0.669616549718307,0.7373525962884661,22.93628430366516,0.2,184
2,chb03,RF,0.5554870530209618,0.13316892725030827,0.9778051787916153,0.613783808028024,108,793,18,703,1622,0.531201196999765,0.5795106952288507,34.690178871154785,0.2,184
3,chb04,RF,0.4861842105263158,0.03684210526315789,0.9355263157894737,0.5847731994459834,28,711,49,732,1520,0.4611238363951984,0.5113142437832138,34.35057330131531,0.2,184
4,chb05,RF,0.5941123996431757,0.31400535236396077,0.8742194469223907,0.6966038828909769,352,980,141,769,2242,0.5736410692412838,0.6142617641553368,34.330607175827026,0.2,184
5,chb06,RF,0.5300632911392406,0.689873417721519,0.370253164556962,0.5532867328953693,218,117,199,98,632,0.49108717809044394,0.5686761340300591,35.83242440223694,0.2,184
6,chb07,RF,0.4900459418070444,0.0015313935681470138,0.9785604900459418,0.4499013857587434,1,639,14,652,1306,0.46300248018096046,0.5171477914244,34.42065763473511,0.2,184
7,chb08,RF,0.6402604449267498,0.36950623982637004,0.9110146500271297,0.6521721849976255,681,1679,164,1162,3686,0.624628248270869,0.6556005832323585,34.058292627334595,0.2,184
8,chb09,RF,0.5197841726618705,0.7266187050359713,0.3129496402877698,0.5002798121215257,404,174,382,152,1112,0.49040134143757863,0.5490307786769609,34.14056897163391,0.2,184
9,chb10,RF,0.5421753607103219,0.1076581576026637,0.97669256381798,0.7598032030017209,97,880,21,804,1802,0.5191062223270625,0.5650650582548004,34.15777015686035,0.2,184
10,chb11,RF,0.4563467492260062,0.001238390092879257,0.9114551083591331,0.16472677778949285,2,1472,143,1613,3230,0.4392311025789568,0.4735661104941883,32.0994827747345,0.2,184
11,chb12,RF,0.5164588528678304,0.3820448877805486,0.6508728179551122,0.5402268642607944,766,1305,700,1239,4010,0.5009830549540036,0.5319031456374698,27.155375480651855,0.15,184
12,chb13,RF,0.447752808988764,0.0550561797752809,0.8404494382022472,0.3522755965155915,49,748,142,841,1780,0.424788875731844,0.4709417765861643,22.883930444717407,0.2,184
13,chb14,RF,0.6473988439306358,0.3786127167630058,0.9161849710982659,0.7999181395970463,131,317,29,215,692,0.6110757307270466,0.682094439035727,23.047391653060913,0.2,184
14,chb15,RF,0.5555694305694305,0.18756243756243757,0.9235764235764236,0.615607294803099,751,3698,306,3253,8008,0.5446619479598028,0.5664236231777992,23.83763027191162,0.15,184
15,chb16,RF,0.4828767123287671,0.0,0.9657534246575342,0.4554559954963408,0,141,5,146,292,0.4261554612643762,0.5400426663823104,23.206952333450317,0.2,184
16,chb17,RF,0.6256366723259762,0.2546689303904924,0.9966044142614601,0.5667241245124972,150,587,2,439,1178,0.5976332020924187,0.6528233734757454,23.294923067092896,0.2,184
17,chb18,RF,0.5671875,0.16875,0.965625,0.7377551269531251,108,618,22,532,1280,0.5398829479421763,0.594089965850304,24.330665588378906,0.2,184
18,chb19,RF,0.5747368421052632,0.15157894736842106,0.9978947368421053,0.5808930747922437,72,474,1,403,950,0.5430595683670006,0.605812110117142,34.84651064872742,0.2,184
19,chb20,RF,0.6015100671140939,0.25671140939597314,0.9463087248322147,0.7170960767532993,153,564,32,443,1192,0.5734329235911347,0.6289350154402554,35.37840533256531,0.2,184
20,chb22,RF,0.537712895377129,0.0948905109489051,0.9805352798053528,0.7882205291230812,39,403,8,372,822,0.5035323231576943,0.5715426064656137,30.941348552703857,0.2,184
