fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,mcc,fit_time_sec,threshold,n_features_kept
0,chb01,RF,0.5830527497194163,0.2783389450056117,0.8877665544332211,0.671289525760158,248,791,100,643,1782,0.5600053460809954,0.6057428367365624,0.20950650778219462,33.85130167007446,0.2,184
0,chb01,SVM,0.3950617283950617,0.1750841750841751,0.6150392817059483,0.342000879224972,156,548,343,735,1782,0.3726126305296904,0.4179623006400168,-0.23371038214472467,1411.4412083625793,0.15,184
0,chb01,XGB,0.5751964085297419,0.26262626262626265,0.8877665544332211,0.6527917912130408,234,791,100,657,1782,0.5521076315952057,0.5979616690639346,0.19268472345584903,11.508676528930664,0.15,184
1,chb02,RF,0.7046109510086456,0.4322766570605187,0.9769452449567724,0.5695047712380302,150,339,8,197,694,0.669616549718307,0.7373525962884661,0.48795234116387615,35.036367654800415,0.2,184
1,chb02,SVM,0.5835734870317003,0.5965417867435159,0.5706051873198847,0.6111254142132233,207,198,149,140,694,0.5465346587154997,0.619692175568957,0.16720322292984602,1420.3479390144348,0.15,184
1,chb02,XGB,0.6858789625360231,0.40634005763688763,0.9654178674351584,0.5122540673869894,141,335,12,206,694,0.6504015557634427,0.7193098515244004,0.4483791014716363,10.02208685874939,0.15,184
2,chb03,RF,0.5554870530209618,0.13316892725030827,0.9778051787916153,0.613783808028024,108,793,18,703,1622,0.531201196999765,0.5795106952288507,0.2072962473085433,32.515854597091675,0.2,184
2,chb03,SVM,0.5141800246609125,0.531442663378545,0.4969173859432799,0.5086792120063066,431,403,408,380,1622,0.4898517573468545,0.5384412817782364,0.028376966963037365,1285.944213628769,0.15,184
2,chb03,XGB,0.5554870530209618,0.14919852034525277,0.9617755856966708,0.6210079957915287,121,780,31,690,1622,0.531201196999765,0.5795106952288507,0.19039785356542252,6.2561328411102295,0.15,184
3,chb04,RF,0.4861842105263158,0.03684210526315789,0.9355263157894737,0.5847731994459834,28,711,49,732,1520,0.4611238363951984,0.5113142437832138,-0.06300003150002363,23.071372985839844,0.2,184
3,chb04,SVM,0.5105263157894737,0.7026315789473684,0.31842105263157894,0.508926592797784,534,242,518,226,1520,0.4854005638003746,0.5355989941589303,0.022802852929384762,1253.3486926555634,0.15,184
3,chb04,XGB,0.4473684210526316,0.07894736842105263,0.8157894736842105,0.4381024930747922,60,620,140,700,1520,0.42253545935993975,0.4724667508435354,-0.1556997888323046,6.509411573410034,0.15,184
4,chb05,RF,0.5941123996431757,0.31400535236396077,0.8742194469223907,0.6966038828909769,352,980,141,769,2242,0.5736410692412838,0.6142617641553368,0.2272291745984884,22.604439735412598,0.2,184
4,chb05,SVM,0.695807314897413,0.7172167707404103,0.6743978590544157,0.7606778706090284,804,756,365,317,2242,0.6764417709103404,0.7145029867252827,0.39197412893821293,1270.1496195793152,0.15,184
4,chb05,XGB,0.6123996431757359,0.4665477252453167,0.7582515611061552,0.6477211868783528,523,850,271,598,2242,0.5920564151627324,0.6323583432066912,0.23502064219099839,6.261174440383911,0.15,184
5,chb06,RF,0.5300632911392406,0.689873417721519,0.370253164556962,0.5532867328953693,218,117,199,98,632,0.49108717809044394,0.5686761340300591,0.06345507233386902,23.37463879585266,0.2,184
