test_patient,mean_auc,mean_mcc,std_auc,std_mcc,best_auc,worst_auc,amd
chb01,0.588320961621872,0.08751922665600514,0.1598631056888512,0.15310628070097151,0.7210079344385367,0.41083865214056,0.31016928229797674
chb02,0.5857909292494747,0.3733826316683169,0.11687893374906348,0.09474177613747421,0.7201787241817472,0.5078440980325392,0.21233462614920806
chb03,0.4575686347250582,-0.0793197856508749,0.1745713586511169,0.12372298399875183,0.5683382467642055,0.2563320921789026,0.3120061545853029
chb04,0.5258852723915051,-0.0004885823357748629,0.11468739242763466,0.0767973638803351,0.6089941135734073,0.3950398199445983,0.21395429362880897
chb05,0.605878157193131,0.055872381674701564,0.13377311360830854,0.07656391557783848,0.6924841701010869,0.4518060448449478,0.24067812525613907
chb06,0.4250320461464509,-0.13570873026940708,0.03554333505627196,0.07928425242071878,0.4659409549751642,0.4017184746034289,0.06422248037173528
chb07,0.46209664117470944,-0.07973555156578525,0.1443539167459514,0.06954221263396669,0.547154258001121,0.2954229390092611,0.25173131899185996
chb08,0.6047926942112652,0.13035071462624065,0.023023678238081578,0.0947410054833373,0.62980896760307,0.5844916563354059,0.04531731126766414
chb09,0.63862992339941,0.1943717221837694,0.12846891095438062,0.19064210676170562,0.7848293307799803,0.5437687619688422,0.24106056881113813
chb10,0.7739675938643419,0.2342735458763027,0.015960780384309176,0.1713199933711759,0.7921510320879132,0.7622742519410545,0.029876780146858684
chb11,0.1837970906139871,-0.167085522240383,0.09983922936781695,0.04772589690221788,0.2952045931620163,0.1024194615111809,0.19278513165083538
chb12,0.527467532332925,0.018333350755601763,0.024332133717603725,0.07246531945143045,0.5483663658808091,0.5007552191839603,0.04761114669684885
chb13,0.4562468964356352,-0.044893501048076954,0.02707871965519977,0.03705145455806738,0.472665067541977,0.4249924251988385,0.047672642343138505
chb14,0.5420174969650394,0.09079118495683842,0.04569643374617432,0.0879203597650336,0.5800060142336864,0.4913085970129305,0.08869741722075586
chb15,0.5358254175062367,0.033915030066018,0.058542381562984226,0.037571210824970704,0.5977869221188402,0.4814397640321716,0.11634715808666862
chb16,0.3258272346281353,-0.09623723377699649,0.02537615156600503,0.08425612975055158,0.3545224244698817,0.3063426534058923,0.04817977106398941
chb17,0.6362759821400261,0.3235932462098088,0.10925100301694657,0.02628210650028546,0.7623810608178807,0.5702378927767416,0.19214316804113907
chb18,0.6138517252604166,0.1661517237449134,0.07386038848609855,0.011765273865063276,0.69502685546875,0.55060791015625,0.1444189453125
chb19,0.507420867959372,0.10591858167933055,0.040030249492165236,0.04737958997615827,0.5529795013850415,0.4778792243767312,0.07510027700831029
chb20,0.7060047032415957,0.24558874878846546,0.03513457090017957,0.09571130693750649,0.7465542092698527,0.6846158393766048,0.06193836989324797
chb22,0.6205829944175086,-0.08414472121897215,0.12202387027158766,0.0906148149805588,0.749187490010123,0.5064260808306841,0.2427614091794389
