cell,model,mean_auc,std_auc,min_auc,max_auc,n_folds
"Part I (1-sec, StdScaler)",RF,0.5745091272401951,0.14384711069379194,0.1537672171687642,0.7622742519410545,21
"Part I (1-sec, StdScaler)",SVM,0.5396429570217216,0.15251164866885183,0.2563320921789026,0.7848293307799803,21
"Part I (1-sec, StdScaler)",XGB,0.50345945794924,0.13970375051405257,0.1024194615111809,0.7921510320879132,21
"Stage 3-iso (1-sec, per-seg z)",RF,0.5890618146064175,0.14820557309748464,0.1647267777894928,0.7999181395970463,21
"Stage 3-iso (1-sec, per-seg z)",SVM,0.5345430078249493,0.11563609255849551,0.3180343390985987,0.7606778706090284,21
"Stage 3-iso (1-sec, per-seg z)",XGB,0.576371547621141,0.1621288282207979,0.1214320083581746,0.7859971015992961,21
"EXP A (4-sec, StdScaler)",RF,0.5821395421235684,0.14459764820182425,0.2770888584057308,0.8166164147544834,21
"EXP A (4-sec, StdScaler)",SVM,0.5481230322930529,0.14672526023145935,0.2615703647846168,0.8633093525179856,21
"EXP A (4-sec, StdScaler)",XGB,0.5194058363824334,0.16233429759093693,0.0814449016918152,0.8509476074868823,21
"Stage 3 (4-sec, per-seg z)",RF,0.866,,,,21
